DATE,VIX
26/05/2015,14.06
27/05/2015,13.27
28/05/2015,13.31
29/05/2015,13.84
01/06/2015,13.97
02/06/2015,14.24
03/06/2015,13.66
04/06/2015,14.71
05/06/2015,14.21
08/06/2015,15.29
09/06/2015,14.47
10/06/2015,13.22
11/06/2015,12.85
12/06/2015,13.78
15/06/2015,15.39
16/06/2015,14.81
17/06/2015,14.5
18/06/2015,13.19
19/06/2015,13.96
22/06/2015,12.74
23/06/2015,12.11
24/06/2015,13.26
25/06/2015,14.01
26/06/2015,14.02
29/06/2015,18.85
30/06/2015,18.23
01/07/2015,16.09
02/07/2015,16.79
06/07/2015,17.01
07/07/2015,16.09
08/07/2015,19.66
09/07/2015,19.97
10/07/2015,16.83
13/07/2015,13.9
14/07/2015,13.37
15/07/2015,13.23
16/07/2015,12.11
17/07/2015,11.95
20/07/2015,12.25
21/07/2015,12.22
22/07/2015,12.12
23/07/2015,12.64
24/07/2015,13.74
27/07/2015,15.6
28/07/2015,13.44
29/07/2015,12.5
30/07/2015,12.13
31/07/2015,12.12
03/08/2015,12.56
04/08/2015,13
05/08/2015,12.51
06/08/2015,13.77
07/08/2015,13.39
10/08/2015,12.23
11/08/2015,13.71
12/08/2015,13.61
13/08/2015,13.49
14/08/2015,12.83
17/08/2015,13.02
18/08/2015,13.79
19/08/2015,15.25
20/08/2015,19.14
21/08/2015,28.03
24/08/2015,40.74
25/08/2015,36.02
26/08/2015,30.32
27/08/2015,26.1
28/08/2015,26.05
31/08/2015,28.43
01/09/2015,31.4
02/09/2015,26.09
03/09/2015,25.61
04/09/2015,27.8
08/09/2015,24.9
09/09/2015,26.23
10/09/2015,24.37
11/09/2015,23.2
14/09/2015,24.25
15/09/2015,22.54
16/09/2015,21.35
17/09/2015,21.14
18/09/2015,22.28
21/09/2015,20.14
22/09/2015,22.44
23/09/2015,22.13
24/09/2015,23.47
25/09/2015,23.62
28/09/2015,27.63
29/09/2015,26.83
30/09/2015,24.5
01/10/2015,22.55
02/10/2015,20.94
05/10/2015,19.54
06/10/2015,19.4
07/10/2015,18.4
08/10/2015,17.42
09/10/2015,17.08
12/10/2015,16.17
13/10/2015,17.67
14/10/2015,18.03
15/10/2015,16.05
16/10/2015,15.05
19/10/2015,14.98
20/10/2015,15.75
21/10/2015,16.7
22/10/2015,14.45
23/10/2015,14.46
26/10/2015,15.29
27/10/2015,15.43
28/10/2015,14.33
29/10/2015,14.61
30/10/2015,15.07
02/11/2015,14.15
03/11/2015,14.54
04/11/2015,15.51
05/11/2015,15.05
06/11/2015,14.33
09/11/2015,16.52
10/11/2015,15.29
11/11/2015,16.06
12/11/2015,18.37
13/11/2015,20.08
16/11/2015,18.16
17/11/2015,18.84
18/11/2015,16.85
19/11/2015,16.99
20/11/2015,15.47
23/11/2015,15.62
24/11/2015,15.93
25/11/2015,15.19
27/11/2015,15.12
30/11/2015,16.13
01/12/2015,14.67
02/12/2015,15.91
03/12/2015,18.11
04/12/2015,14.81
07/12/2015,15.84
08/12/2015,17.6
09/12/2015,19.61
10/12/2015,19.34
11/12/2015,24.39
14/12/2015,22.73
15/12/2015,20.95
16/12/2015,17.86
